noun-noun phrase frequencies
noun-noun phrases,frequencies
he,1
the guards,1
she,1
you,1
good terms,1
"michael ilariónovich
kutúzov",1
borís,1
him,1
i,1
rest,1
prince vasíli,1
i,1
you,1
kutúzov,1
his appointment,1
commander,1
chief,1
he,1
me,1
himself,1
all the moscow ladies,1
him,1
all their sons,1
adjutants,1
i,1
you,1
my dear benefactor,1
his beautiful daughter,1
the same tone,1
we,1
"“well, au",1
revoir,1
you,1
her,1
you,1
the emperor,1
kutúzov,1
i,1
cried anna mikháylovna,1
he,1
the smile,1
a coquettish girl,1
one time,1
her,1
her careworn face,1
she,1
her age,1
force,1
habit,1
all the old feminine arts,1
the prince,1
her face,1
"its former cold, artificial expression",1
she,1
"the
group",1
the vicomte,1
it,1
time,1
her task,1
chapter v,1
what,1
you,1
this latest comedy,1
the coronation,1
milan,1
anna pávlovna,1
the comedy,1
the people,1
genoa,1
their petitions,1
monsieur buonaparte,1
monsieur,1
buonaparte,1
a throne,1
the petitions,1
the nations,1
it,1
head whirl,1
it,1
the whole world,1
prince andrew,1
anna pávlovna,1
the face,1
"a
sarcastic smile",1
me,1
la donne,1
à qui la touche,1
they,1
he,1
he,1
he,1
the words,1
italian,1
l’ha dato,1
guai,1
god,1
it,1
me,1
him,1
who,1
it,1
i,1
the last drop,1
the glass,1
anna pávlovna,1
the sovereigns,1
this man,1
who,1
a menace,1
everything,1
“the sovereigns,1
i,1
russia,1
"the vicomte, polite
but hopeless: “the sovereigns, madame",1
what,1
they,1
"louis
xvii",1
the queen,1
madame elizabeth,1
nothing,1
he,1
me,1
they,1
the reward,1
"their
betrayal",1
the bourbon cause,1
the sovereigns,1
they,1
ambassadors,1
the usurper,1
he,1
his position,1
prince hippolyte,1
who,1
the vicomte,1
some time,1
his lorgnette,1
"the
little princess",1
a needle,1
"the condé
coat",1
arms,1
the table,1
he,1
her,1
as much gravity,1
she,1
him,1
it,1
“bâton de gueules,1
engrêlé de gueules,1
d’azur—maison condé,1
he,1
the princess,1
buonaparte,1
the throne,1
france,1
"the
vicomte",1
the air,1
a man,1
who,1
a matter,1
he,1
anyone,1
others,1
the current,1
his own thoughts,1
things,1
intrigues,1
violence,1
exile,1
executions,1
french society,1
i,1
good french society,1
he,1
his shoulders,1
his hands,1
pierre,1
a remark,1
the conversation,1
him,1
anna pávlovna,1
who,1
him,1
observation,1
the emperor alexander,1
she,1
any reference,1
hers,1
the imperial family,1
he,1
it,1
the french people,1
themselves,1
their own form,1
government,1
i,1
"the
usurper",1
the whole nation,1
itself,1
the arms,1
its rightful king,1
she,1
"the
royalist emigrant",1
prince andrew,1
monsieur le vicomte,1
matters,1
i,1
it,1
the old regime,1
what,1
i,1
pierre,1
the conversation,1
almost all the aristocracy,1
bonaparte,1
side,1
it,1
the buonapartists,1
who,1
the vicomte,1
pierre,1
the present time,1
it,1
"the
real state",1
french public opinion,1
bonaparte,1
prince andrew,1
"a sarcastic
smile",1
it,1
he,1
the vicomte,1
"his
remarks",1
him,1
him,1
i,1
them,1
the path,1
glory,1
they,1
it,1
prince andrew,1
a short silence,1
napoleon,1
words,1
i,1
my antechambers,1
they,1
i,1
he,1
the vicomte,1
the murder,1
"the
duc",1
even the most partial,1
him,1
a hero,1
"some
people",1
he,1
anna pávlovna,1
he,1
a hero,1
the murder,1
the duc,1
one martyr,1
heaven,1
"one
hero",1
earth,1
anna pávlovna,1
the others,1
time,1
"their
appreciation",1
the vicomte’s epigram,1
pierre,1
"the
conversation",1
anna pávlovna,1
he,1
something,1
she,1
him,1
the execution,1
the duc d’enghien,1
monsieur pierre,1
a political necessity,1
it,1
me,1
napoleon,1
greatness,1
soul,1
himself,1
"the whole
responsibility",1
that deed,1
“dieu,1
mon dieu,1
anna pávlovna,1
a terrified whisper,1
you,1
assassination,1
greatness,1
soul,1
the little princess,1
her,1
her,1
several voices,1
“capital,1
prince hippolyte,1
english,1
the palm,1
his hand,1
the vicomte,1
his shoulders,1
pierre,1
"his
audience",1
his spectacles,1
i,1
he,1
the bourbons,1
the revolution,1
the people,1
napoleon,1
the revolution,1
it,1
the general good,1
he,1
the sake,1
one man,1
life,1
you,1
the other table,1
pierre,1
his speech,1
her,1
he,1
napoleon,1
he,1
the revolution,1
its abuses,1
it,1
equality,1
citizenship,1
freedom,1
speech,1
the press,1
that reason,1
he,1
power,1
power,1
himself,1
it,1
commit murder,1
he,1
it,1
the rightful king,1
i,1
him,1
the vicomte,1
he,1
the people,1
him,1
power,1
he,1
them,1
the bourbons,1
they,1
he,1
"a great
man",1
the revolution,1
a grand thing,1
continued monsieur pierre,1
this desperate and provocative proposition,1
"his extreme
youth",1
his wish,1
his mind,1
“what,1
revolution,1
a grand thing,1
you,1
this other table,1
repeated anna pávlovna,1
contrat social,1
the vicomte,1
"a tolerant
smile",1
i,1
regicide,1
i,1
ideas,1
ideas,1
robbery,1
murder,1
"an
ironical voice",1
extremes,1
they,1
what,1
what,1
the rights,1
man,1
emancipation,1
prejudices,1
equality,1
citizenship,1
all these ideas napoleon,1
full force,1
“liberty,1
equality,1
the vicomte,1
this youth,1
his words,1
high-sounding words,1
who,1
liberty,1
equality,1
even our saviour,1
liberty,1
equality,1
people,1
the revolution,1
"the
contrary",1
we,1
liberty,1
buonaparte,1
it,1
prince andrew,1
an amused smile,1
pierre,1
"the
vicomte",1
the vicomte,1
their hostess,1
the first moment,1
pierre’s outburst anna pávlovna,1
her social experience,1
she,1
pierre,1
sacrilegious words,1
the vicomte,1
herself,1
it,1
him,1
she,1
her forces,1
the vicomte,1
a vigorous attack,1
the orator,1
she,1
you,1
"the
fact",1
a great man,1
a duc,1
even an ordinary man,1
who,1
i,1
the vicomte,1
monsieur,1
the 18th brumaire,1
an imposture,1
it,1
a swindle,1
the conduct,1
a great man,1
“and the prisoners,1
he,1
africa,1
"the
little princess",1
her shoulders,1
he,1
a low fellow,1
what,1
you,1
remarked prince hippolyte,1
pierre,1
whom,1
them,1
"his
smile",1
the half-smile,1
other people,1
he,1
his grave,1
look,1
a childlike,1
even rather silly look,1
forgiveness,1
the vicomte,1
who,1
him,1
the first time,1
this young jacobin,1
his words,1
you,1
him,1
you,1
"prince
andrew",1
the actions,1
a statesman,1
his acts,1
a private person,1
an emperor,1
it,1
me,1
course,1
pierre,1
the arrival,1
this reinforcement,1
one,1
” continued prince andrew,1
that napoleon,1
a man,1
the bridge,1
arcola,1
the hospital,1
jaffa,1
he,1
his hand,1
other acts,1
it,1
prince andrew,1
who,1
the awkwardness,1
pierre,1
’s remarks,1
a sign,1
his wife,1
it,1
time,1
prince hippolyte,1
signs,1
everyone,1
them,1
i,1
a charming moscow story,1
you,1
it,1
me,1
i,1
it,1
russian,1
the point,1
prince hippolyte,1
his story,1
a frenchman,1
about a year,1
russia,1
everyone,1
he,1
"their
attention",1
his story,1
moscow,1
a lady,1
une dame,1
she,1
she,1
two footmen,1
her carriage,1
very big ones,1
"her
taste",1
she,1
a lady’s maid,1
she,1
prince hippolyte,1
his ideas,1
difficulty,1
she,1
she,1
the maid,1
"a
livery",1
the carriage,1
me,1
i,1
"some
calls",1
prince hippolyte,1
"his
audience",1
an effect,1
the narrator,1
"several
persons",1
them,1
she,1
a great wind,1
the girl,1
her hat,1
her long hair,1
he,1
himself,1
gasps,1
laughter,1
the whole world,1
the anecdote,1
it,1
he,1
it,1
it,1
russian,1
still anna pávlovna,1
"the
others",1
prince hippolyte,1
social tact,1
pierre,1
unpleasant and unamiable outburst,1
the anecdote,1
the conversation,1
insignificant small talk,1
"the last
and next balls",1
theatricals,1
who,1
whom,1
chapter vi,1
anna pávlovna,1
her charming soiree,1
the guests,1
their leave,1
pierre,1
the average height,1
"huge
red hands",1
he,1
the saying,1
"a drawing
room",1
something,1
he,1
he,1
he,1
"the
general",1
three-cornered hat,1
it,1
the plume,1
him,1
it,1
all his absent-mindedness,1
inability,1
a room,1
converse,1
it,1
anna pávlovna,1
him,1
a christian mildness,1
forgiveness,1
"his
indiscretion",1
i,1
you,1
i,1
you,1
your opinions,1
she,1
he,1
everybody,1
his smile,1
nothing,1
opinions,1
opinions,1
you,1
"what a capital, good-natured fellow",1
i,1
everyone,1
anna pávlovna,1
prince andrew,1
the hall,1
his shoulders,1
the footman,1
who,1
him,1
his cloak,1
his wife,1
chatter,1
prince hippolyte,1
who,1
the hall,1
prince hippolyte,1
"the pretty, pregnant
princess",1
her,1
his eyeglass,1
you,1
the little princess,1
leave,1
anna pávlovna,1
it,1
she,1
"a low
voice",1
anna pávlovna,1
the match,1
she,1
anatole,1
the little princess,1
’ sister,1
law,1
i,1
you,1
anna pávlovna,1
a low tone,1
her,1
me,1
her father,1
the matter,1
revoir,1
she,1
the hall,1
prince hippolyte,1
the little princess,1
his face,1
her,1
something,1
two footmen,1
the princess,1
a shawl,1
a cloak,1
the conversation,1
they,1
the french sentences,1
them,1
an air,1
understanding,1
the princess,1
a laugh,1
i,1
i,1
the ambassador,1
"prince
hippolyte",1
it,1
a delightful evening,1
it,1
they,1
the ball,1
the princess,1
little lip,1
all the pretty women,1
society,1
you,1
prince hippolyte,1
the shawl,1
the footman,1
whom,1
he,1
he,1
it,1
the princess,1
awkwardness,1
no one,1
"the
shawl",1
he,1
his arm,1
her,1
a long time,1
her,1
she,1
"her
husband",1
prince andrew,1
eyes,1
he,1
you,1
he,1
his wife,1
her,1
prince hippolyte,1
his cloak,1
the latest fashion,1
his very heels,1
it,1
the porch,1
the princess,1
whom,1
a footman,1
the carriage,1
he,1
his tongue,1
his feet,1
the princess,1
her dress,1
her seat,1
"the dark
carriage",1
her husband,1
his saber,1
prince hippolyte,1
pretense,1
everyone,1
me,1
prince andrew,1
russian,1
"a cold,
disagreeable tone",1
prince hippolyte,1
who,1
his path,1
i,1
you,1
the same voice,1
the postilion,1
the carriage wheels,1
prince hippolyte,1
he,1
the porch,1
the vicomte,1
whom,1
he,1
the vicomte,1
himself,1
hippolyte,1
the carriage,1
your little princess,1
he,1
the tips,1
his fingers,1
you,1
you,1
a terrible chap,1
all your innocent airs,1
the vicomte,1
i,1
the poor husband,1
that little officer,1
who,1
himself,1
the airs,1
a monarch,1
hippolyte,1
his laughter,1
you,1
the russian ladies,1
the french,1
one,1
them,1
the house,1
prince andrew,1
home,1
habit,1
the sofa,1
the shelf,1
the first book,1
his hand,1
it,1
caesar,1
commentaries,1
his elbow,1
it,1
the middle,1
what,1
you,1
mlle schérer,1
she,1
prince andrew,1
he,1
the study,1
"his small white
hands",1
pierre,1
his whole body,1
the sofa creak,1
he,1
"his eager
face",1
prince andrew,1
his hand,1
abbé,1
he,1
the thing,1
"the
right light",1
my opinion,1
perpetual peace,1
i,1
it,1
a balance,1
political power,1
it,1
prince andrew,1
"such abstract
conversation",1
one,1
all one,1
mon cher,1
you,1
anything,1
you,1
a guardsman,1
"a
diplomatist",1
prince andrew,1
a momentary silence,1
pierre,1
the sofa,1
his legs,1
him,1
i,1
i,1
you,1
something,1
your father,1
it,1
the age,1
an abbé,1
tutor,1
he,1
he,1
moscow,1
his father,1
the abbé,1
the young man,1
petersburg,1
your profession,1
i,1
anything,1
a letter,1
prince vasíli,1
money,1
me,1
it,1
i,1
you,1
everything,1
pierre,1
a career,1
three months,1
anything,1
it,1
this choice,1
prince andrew,1
pierre,1
his forehead,1
he,1
a freemason,1
he,1
the abbé,1
whom,1
he,1
nonsense,1
prince andrew,1
him,1
us,1
business,1
you,1
the horse guards,1
i,1
what,1
i,1
you,1
a war,1
napoleon,1
it,1
a war,1
freedom,1
i,1
it,1
the army,1
england,1
austria,1
the greatest man,1
the world,1
prince andrew,1
his shoulders,1
pierre,1
childish words,1
he,1
the air,1
who,1
it,1
"such
nonsense",1
it,1
fact,1
"any other
answer",1
the one prince andrew,1
this naïve question,1
no one,1
his own conviction,1
"no
wars",1
he,1
pierre,1
prince andrew,1
it,1
it,1
you,1
the war,1
pierre,1
i,1
i,1
i,1
he,1
i,1
the life,1
i,1
me,1
the rustle,1
a woman,1
dress,1
the next room,1
prince,1
andrew,1
himself,1
his face,1
the look,1
it,1
anna pávlovna,1
drawing room,1
pierre,1
his feet,1
the sofa,1
the princess,1
she,1
her gown,1
"a house
dress",1
prince andrew,1
a chair,1
her,1
it,1
she,1
french,1
the easy chair,1
it,1
annette,1
you men,1
her,1
me,1
you,1
no sense,1
women,1
what an argumentative fellow,1
you,1
monsieur pierre,1
i,1
your husband,1
i,1
he,1
the war,1
pierre,1
the princess,1
none,1
the embarrassment,1
young men,1
"their
intercourse",1
young women,1
the princess,1
words,1
her,1
just what,1
i,1
him,1
she,1
i,1
it,1
i,1
men,1
wars,1
it,1
we,1
women,1
anything,1
the kind,1
it,1
you,1
us,1
i,1
him,1
he,1
uncle’s aide-de-camp,1
a most brilliant position,1
he,1
everyone,1
"the
apráksins",1
i,1
a lady,1
the famous prince,1
andrew,1
i,1
she,1
he,1
he,1
aide-de-camp,1
the emperor,1
you,1
the emperor,1
him,1
annette,1
i,1
it,1
what,1
you,1
pierre,1
his friend,1
he,1
"the
conversation",1
no reply,1
you,1
he,1
his going,1
i,1
it,1
the princess,1
the same petulantly playful tone,1
she,1
hippolyte,1
the drawing room,1
the family circle,1
pierre,1
almost a member,1
i,1
all these delightful associations,1
you,1
she,1
her husband,1
i,1
i,1
she,1
a shudder,1
her husband,1
her,1
someone,1
pierre,1
himself,1
the room,1
her,1
a tone,1
frigid politeness,1
what,1
it,1
you,1
lise,1
i,1
he,1
what,1
men,1
all egotists,1
a whim,1
he,1
me,1
me,1
the country,1
my father,1
sister,1
prince andrew,1
my friends,1
he,1
me,1
her tone,1
her lip,1
her,1
"an animal, squirrel-like expression",1
she,1
she,1
it,1
her pregnancy,1
pierre,1
"the
gist",1
the matter,1
i,1
what,1
you,1
prince,1
andrew,1
his eyes,1
his wife,1
the princess,1
her arms,1
a gesture,1
despair,1
i,1
you,1
you,1
your doctor,1
you,1
bed,1
prince andrew,1
you,1
the princess,1
nothing,1
suddenly her short downy lip,1
prince andrew,1
his shoulders,1
the room,1
pierre,1
his spectacles,1
naïve surprise,1
him,1
her,1
his mind,1
i,1
monsieur pierre,1
"the little
princess",1
"suddenly, her pretty face",1
"a tearful
grimace",1
i,1
you,1
andrew,1
you,1
me,1
what,1
i,1
you,1
you,1
the war,1
"no
pity",1
me,1
it,1
“lise,1
prince andrew,1
one word,1
an entreaty,1
a threat,1
all conviction,1
she,1
her words,1
she,1
you,1
me,1
a child,1
i,1
it,1
you,1
i,1
you,1
prince andrew,1
pierre,1
who,1
he,1
the princess,1
he,1
"the
sight",1
tears,1
himself,1
yourself,1
it,1
you,1
i,1
you,1
i,1
myself,1
me,1
an outsider,1
place,1
prince andrew,1
him,1
the hand,1
the princess,1
me,1
the pleasure,1
the evening,1
you,1
he,1
himself,1
the princess,1
her angry tears,1
“lise,1
prince andrew dryly,1
his voice,1
the pitch,1
patience,1
"suddenly the angry, squirrel-like expression",1
the princess,1
"’ pretty
face",1
a winning and piteous look,1
fear,1
her beautiful eyes,1
glanced askance,1
her husband,1
face,1
the timid,1
expression,1
a dog,1
it,1
"its
drooping tail",1
“mon dieu,1
mon dieu,1
she,1
her dress,1
"one
hand",1
she,1
her husband,1
him,1
the forehead,1
he,1
her hand,1
he,1
a stranger,1
chapter viii,1
the friends,1
pierre,1
prince andrew,1
prince andrew,1
his forehead,1
his small hand,1
us,1
supper,1
he,1
a sigh,1
the door,1
they,1
"the elegant, newly decorated, and luxurious dining room",1
everything,1
the table napkins,1
the silver,1
china,1
glass bore,1
that imprint,1
newness,1
the households,1
supper prince andrew,1
his elbows,1
the table,1
a look,1
nervous agitation,1
pierre,1
who,1
something,1
his mind,1
my advice,1
you,1
yourself,1
you,1
you,1
you,1
the woman,1
your choice,1
her,1
she,1
you,1
"a cruel and irrevocable
mistake",1
you,1
nothing,1
you,1
it,1
trifles,1
me,1
such surprise,1
you,1
anything,1
yourself,1
the future,1
you,1
"every
step",1
you,1
"the drawing
room",1
you,1
side,1
a court lackey,1
"an
idiot",1
but what,1
he,1
his arm,1
pierre,1
his spectacles,1
his face,1
his friend,1
amazement,1
my wife,1
” continued prince andrew,1
an excellent woman,1
those rare women,1
whom,1
honor,1
what,1
i,1
you,1
whom,1
i,1
i,1
you,1
he,1
this prince andrew,1
that bolkónski,1
who,1
anna pávlovna,1
easy chairs,1
"half-closed
eyes",1
french phrases,1
his teeth,1
every muscle,1
"his
thin face",1
nervous excitement,1
his eyes,1
the fire,1
life,1
"brilliant
light",1
it,1
the more lifeless,1
he,1
he,1
these moments,1
"almost morbid
irritation",1
you,1
i,1
he,1
it,1
the whole story,1
life,1
you,1
bonaparte,1
his career,1
he,1
pierre,1
bonaparte,1
he,1
step,1
his goal,1
he,1
he,1
nothing,1
his aim,1
he,1
it,1
yourself,1
a woman,1
a chained convict,1
you,1
all freedom,1
all you,1
hope,1
strength,1
you,1
you,1
regret,1
rooms,1
gossip,1
balls,1
vanity,1
triviality,1
the enchanted circle,1
i,1
i,1
the war,1
the greatest war,1
i,1
nothing,1
nothing,1
i,1
a caustic wit,1
continued prince,1
andrew,1
anna pávlovna,1
they,1
me,1
whom,1
my wife,1
those women,1
you,1
what,1
those society women,1
women,1
my father,1
everything,1
what,1
women,1
you,1
them,1
their true colors,1
you,1
them,1
society,1
it,1
something,1
them,1
nothing,1
nothing,1
nothing,1
prince andrew,1
it,1
me,1
pierre,1
you,1
yourself,1
a spoiled life,1
you,1
everything,1
you,1
everything,1
and you,1
he,1
his sentence,1
his tone,1
he,1
his friend,1
he,1
him,1
the future,1
he,1
pierre,1
he,1
"his
friend",1
a model,1
perfection,1
prince andrew,1
"the
highest degree",1
just the very qualities,1
pierre,1
strength,1
will,1
pierre,1
prince andrew,1
calm manner,1
everybody,1
"his extraordinary
memory",1
his extensive reading,1
he,1
everything,1
everything,1
an opinion,1
everything,1
his capacity,1
work,1
study,1
pierre,1
andrew’s lack,1
capacity,1
philosophical meditation,1
he,1
himself,1
he,1
a defect,1
"a
sign",1
strength,1
"the best, most friendly and simplest relations",1
life,1
commendation,1
grease,1
wheels,1
they,1
my part,1
prince andrew,1
“what,1
the use,1
me,1
us,1
you,1
he,1
a silence,1
his reassuring thoughts,1
that smile,1
pierre’s face,1
what,1
me,1
pierre,1
his face,1
"a careless, merry smile",1
what,1
i,1
an illegitimate son,1
he,1
crimson,1
it,1
he,1
"a great
effort",1
a name,1
means,1
he,1
what,1
it,1
"the
present",1
i,1
i,1
the least idea,1
what,1
i,1
i,1
you,1
prince andrew,1
him,1
it,1
a sense,1
his own superiority,1
i,1
you,1
you,1
the one live man,1
"our
whole set",1
you,1
what,1
you,1
it,1
you,1
those kurágins,1
that sort,1
life,1
it,1
you,1
it,1
what,1
you,1
my dear fellow,1
pierre,1
his shoulders,1
my dear fellow,1
i,1
it,1
prince andrew,1
women,1
who,1
a different matter,1
the kurágins,1
women,1
women,1
wine,1
i,1
pierre,1
prince vasíli,1
"the
dissipated life",1
his son,1
anatole,1
the son,1
whom,1
they,1
reform,1
him,1
andrew’s sister,1
you,1
pierre,1
i,1
it,1
"such
a life",1
i,1
anything,1
one’s head,1
one,1
all one’s money,1
he,1
me,1
tonight,1
i,1
you,1
me,1
your word,1
honor,1
my honor,1
chapter ix,1
it,1
one o’clock,1
pierre,1
his friend,1
it,1
"a
cloudless, northern, summer night",1
pierre,1
an open cab,1
intending,1
the nearer,1
he,1
the house,1
he,1
the impossibility,1
such a night,1
it,1
a long way,1
the deserted street,1
it,1
morning,1
evening,1
night,1
the way,1
pierre,1
anatole,1
kurágin,1
the usual set,1
cards,1
a drinking bout,1
visits,1
a kind,1
pierre,1
i,1
kurágin,1
he,1
he,1
his promise,1
andrew,1
people,1
weak character,1
he,1
that dissipation,1
he,1
he,1
the thought,1
him,1
"his
promise",1
prince andrew,1
no account,1
he,1
it,1
he,1
prince anatole,1
his gathering,1
he,1
all such ‘words,1
honor,1
conventional things,1
no definite meaning,1
one,1
tomorrow,1
that honor,1
dishonor,1
pierre,1
reflections,1
this sort,1
all his decisions,1
intentions,1
he,1
kurágin,1
the large house,1
the horse guards’ barracks,1
anatole,1
pierre,1
the lighted porch,1
the stairs,1
the open door,1
no one,1
the anteroom,1
bottles,1
cloaks,1
overshoes,1
a smell,1
alcohol,1
sounds,1
voices,1
the distance,1
cards,1
supper,1
the visitors,1
pierre,1
his cloak,1
the first room,1
"the
remains",1
supper,1
a footman,1
no one,1
him,1
what,1
the glasses,1
the third room,1
sounds,1
laughter,1
familiar voices,1
the growling,1
a bear,1
general commotion,1
some eight or nine young men,1
an open window,1
three others,1
a young bear,1
him,1
the chain,1
him,1
the others,1
i,1
stevens,1
mind,1
no holding,1
i,1
dólokhov,1
a third,1
you,1
"our
hands",1
bruin,1
’s a bet,1
one draught,1
he,1
a bottle,1
the host,1
who,1
the midst,1
the group,1
a coat,1
"his fine
linen shirt",1
front,1
you,1
pétya,1
good man,1
he,1
pierre,1
another voice,1
a man,1
medium height,1
clear blue eyes,1
all these drunken voices,1
"its sober
ring",1
the window,1
the bets,1
dólokhov,1
an officer,1
the semënov regiment,1
a notorious gambler,1
duelist,1
who,1
anatole,1
pierre,1
him,1
i,1
what,1
it,1
he,1
a bottle,1
anatole,1
a glass,1
the table,1
he,1
pierre,1
you,1
pierre,1
one glass,1
his brows,1
the tipsy guests,1
who,1
the window,1
their chatter,1
anatole,1
pierre,1
’s glass,1
dólokhov,1
stevens,1
"an english naval
officer",1
he,1
a bottle,1
rum,1
the outer ledge,1
the third floor window,1
his legs,1
you,1
it,1
anatole,1
pierre,1
"the last
glass",1
i,1
you,1
i,1
pierre,1
anatole,1
he,1
the window,1
dólokhov,1
the englishman,1
hand,1
the terms,1
the bet,1
himself,1
anatole,1
pierre,1
dólokhov,1
medium height,1
curly hair,1
light-blue eyes,1
he,1
all infantry officers,1
he,1
no mustache,1
his mouth,1
the most striking feature,1
his face,1
the lines,1
that mouth,1
the middle,1
the upper lip,1
a sharp wedge,1
the firm,1
something,1
two distinct smiles,1
the two corners,1
the mouth,1
the resolute,1
insolent intelligence,1
his eyes,1
an effect,1
it,1
his face,1
dólokhov,1
a man,1
small means,1
no connections,1
anatole,1
tens of thousands,1
rubles,1
dólokhov,1
him,1
himself,1
who,1
them,1
anatole,1
himself,1
him,1
they,1
anatole,1
dólokhov,1
all games,1
he,1
he,1
his clearheadedness,1
both kurágin,1
dólokhov,1
that time,1
the rakes,1
scapegraces,1
petersburg,1
the bottle,1
rum,1
the window frame,1
anyone,1
the outer sill,1
two footmen,1
who,1
the directions,1
shouts,1
the gentlemen,1
his swaggering air,1
the window,1
he,1
something,1
the footmen,1
he,1
the frame,1
it,1
he,1
a pane,1
you,1
a try,1
hercules,1
he,1
pierre,1
pierre,1
the crossbeam,1
the oak frame,1
a crash,1
it,1
they,1
i,1
dólokhov,1
the englishman,1
bragging,1
it,1
anatole,1
“first-rate,1
pierre,1
dólokhov,1
who,1
a bottle,1
rum,1
his hand,1
the window,1
the sky,1
the dawn,1
the afterglow,1
sunset,1
dólokhov,1
the bottle,1
rum,1
his hand,1
the window,1
he,1
"the
room",1
i,1
fifty imperials”—he,1
the englishman,1
him,1
he,1
it,1
well—“i bet,1
"fifty
imperials",1
you,1
it,1
he,1
the englishman,1
fifty imperials,1
i,1
a whole bottle,1
rum,1
it,1
my mouth,1
the window,1
"this
spot",1
he,1
the sloping ledge,1
the window,1
anything,1
the englishman,1
anatole,1
the englishman,1
him,1
the buttons,1
his coat,1
him,1
the englishman,1
the terms,1
the wager,1
him,1
english,1
cried dólokhov,1
the bottle,1
the window,1
sill,1
attention,1
anyone,1
i,1
him,1
a hundred imperials,1
you,1
the englishman,1
no indication,1
he,1
this challenge,1
anatole,1
him,1
he,1
he,1
anatole,1
dólokhov,1
’s words,1
english,1
a thin young lad,1
an hussar,1
"the
life guards",1
who,1
the window,1
sill,1
he,1
the window,1
"the
stones",1
the pavement,1
cried dólokhov,1
him,1
the window,1
"the
lad",1
the room,1
his spurs,1
the bottle,1
the window sill,1
he,1
it,1
dólokhov,1
the window,1
his legs,1
both sides,1
the window,1
he,1
himself,1
his seat,1
his hands,1
the right,1
the bottle,1
anatole,1
two candles,1
them,1
the window sill,1
it,1
dólokhov,1
his white shirt,1
his curly head,1
both sides,1
everyone,1
the window,1
the englishman,1
front,1
pierre,1
one man,1
the others,1
a scared and angry look,1
hold,1
dólokhov’s shirt,1
i,1
folly,1
he,1
"this more sensible
man",1
anatole,1
him,1
him,1
you,1
him,1
he,1
what,1
dólokhov,1
both hands,1
himself,1
his seat,1
anyone,1
he,1
the words,1
his thin compressed lips,1
i,1
him,1
he,1
his hands,1
the bottle,1
it,1
his lips,1
his head,1
his free hand,1
himself,1
the footmen,1
who,1
"some
broken glass",1
that position,1
his eyes,1
"the
window",1
dólokhov,1
anatole,1
erect,1
eyes,1
the englishman,1
sideways,1
his lips,1
the man,1
who,1
the affair,1
a corner,1
the room,1
a sofa,1
his face,1
the wall,1
pierre,1
his face,1
his features,1
horror,1
fear,1
pierre,1
his hands,1
his eyes,1
dólokhov,1
the same position,1
only his head,1
his curly hair,1
his shirt collar,1
the hand,1
the bottle,1
"the
effort",1
the bottle,1
his head,1
it,1
it,1
him,1
more than half an hour,1
dólokhov,1
a backward movement,1
his spine,1
his arm,1
his whole body,1
he,1
the sloping ledge,1
he,1
his head,1
arm,1
the strain,1
one hand,1
the window sill,1
it,1
pierre,1
his eyes,1
he,1
them,1
he,1
a stir,1
he,1
dólokhov,1
"the
window sill",1
a pale but radiant face,1
it,1
he,1
the bottle,1
the englishman,1
who,1
it,1
dólokhov,1
he,1
rum,1
fine fellow,1
there’s a bet,1
you,1
devil,1
you,1
different sides,1
the englishman,1
his purse,1
the money,1
dólokhov,1
pierre,1
"the
window sill",1
“gentlemen,1
who,1
me,1
i,1
the same thing,1
he,1
a bet,1
them,1
me,1
"a
bottle",1
i,1
it,1
a bottle,1
him,1
it,1
him,1
it,1
dólokhov,1
“what,1
you,1
no one,1
you,1
you,1
giddy,1
a staircase,1
several voices,1
i,1
it,1
’s,1
a bottle,1
rum,1
pierre,1
the table,1
a determined and drunken gesture,1
the window,1
they,1
him,1
his arms,1
he,1
everyone,1
who,1
him,1
you,1
him,1
anatole,1
i,1
him,1
i,1
your bet,1
we,1
pierre,1
we,1
bruin,1
us,1
he,1
the bear,1
it,1
his arms,1
it,1
the ground,1
the room,1
it,1
chapter,1
prince vasíli,1
the promise,1
he,1
princess drubetskáya,1
who,1
him,1
behalf,1
her only son,1
borís,1
the evening,1
anna pávlovna,1
the matter,1
the emperor,1
"an
exception",1
borís,1
the regiment,1
"semënov
guards",1
the rank,1
cornet,1
he,1
no appointment,1
kutúzov,1
’s staff,1
all anna mikháylovna,1
endeavors,1
entreaties,1
anna pávlovna,1
reception anna mikháylovna,1
moscow,1
her rich relations,1
"the
rostóvs",1
whom,1
she,1
the town,1
"where her darling
bóry",1
who,1
a regiment,1
the line,1
the guards,1
a cornet,1
childhood,1
years,1
a time,1
the guards,1
petersburg,1
the tenth,1
august,1
her son,1
who,1
moscow,1
his equipment,1
them,1
the march,1
it,1
st. natalia,1
day,1
the name day,1
the rostóvs,1
"the
mother",1
the youngest daughter,1
six horses,1
visitors,1
the countess rostóva,1
big house,1
the povarskáya,1
all moscow,1
herself,1
her handsome eldest daughter,1
the drawing room,1
the visitors,1
who,1
who,1
relays,1
a woman,1
a thin oriental type,1
face,1
childbearing,1
she,1
a languor,1
motion,1
speech,1
weakness,1
her,1
"a
distinguished air",1
respect,1
"princess anna mikháylovna
drubetskáya",1
who,1
a member,1
the household,1
"the
drawing room",1
the visitors,1
"the young
people",1
the inner rooms,1
it,1
part,1
the visitors,1
the count,1
the guests,1
them,1
them,1
dinner,1
i,1
you,1
mon cher,1
